what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1432657737718
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1432657737718
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1432657737718
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1432657737718
java.vm.specification.version,sysinfo,,,"1.7",1432657737718
java.vm.vendor,sysinfo,,,"Oracle Corporation",1432657737718
java.vm.version,sysinfo,,,"23.7-b01",1432657737718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432657759870
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1432657768201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432657768210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432657773420
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1432657794200
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1432657794212
started,bundle,org.eclipse.linuxtools.tmf.core,0.4.0.201202152032,"org.eclipse.linuxtools.tmf.core",1432657794226
started,bundle,org.eclipse.linuxtools.tmf.ui,0.4.0.201202152032,"org.eclipse.linuxtools.tmf.ui",1432657794229
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1432657794250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432657794266
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1432657795105
started,bundle,org.eclipse.cdt.cross.arm.gnu,0.5.4.201202210114,"org.eclipse.cdt.cross.arm.gnu",1432657795107
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1432657795161
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1432657801580
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1432657801606
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1432657801701
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1432657801721
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1432657802375
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1432657802686
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1432657808808
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1432657810446
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1432657810448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432657810610
executed,command,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1432657813125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432657813160
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1432657819429
